IMU accX[mg],IMU accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],Qi,Qj,Qk,Qs
0.036214,-0.007195,0.048806,0.998126
0.036483,-0.006939,0.048542,0.998131
0.036579,-0.007021,0.048540,0.998127
0.036626,-0.006925,0.048405,0.998132
0.036658,-0.006865,0.048309,0.998136
0.036682,-0.006815,0.048230,0.998139
0.036706,-0.006891,0.048197,0.998139
0.036726,-0.006949,0.048152,0.998141
0.036749,-0.006997,0.048112,0.998141
0.036845,-0.006930,0.048017,0.998143
0.036930,-0.006889,0.047927,0.998144
0.036905,-0.006860,0.047927,0.998145
0.036883,-0.006835,0.047929,0.998146
0.036865,-0.006812,0.047919,0.998147
0.036847,-0.006826,0.047936,0.998147
0.036813,-0.006882,0.047955,0.998147
0.036794,-0.006919,0.047959,0.998147
0.036774,-0.006861,0.047947,0.998149
0.036757,-0.006823,0.047948,0.998150
0.036743,-0.006792,0.047952,0.998151
0.036825,-0.006761,0.047953,0.998148
0.036806,-0.006743,0.047945,0.998149
0.036790,-0.006727,0.047938,0.998150
0.036858,-0.006804,0.047958,0.998146
0.036919,-0.006771,0.047969,0.998143
0.036882,-0.006750,0.047960,0.998145
0.036851,-0.006738,0.047955,0.998147
0.036830,-0.006834,0.047968,0.998146
0.036900,-0.006894,0.047971,0.998143
0.036858,-0.006854,0.047964,0.998145
0.036919,-0.006818,0.047962,0.998143
0.036962,-0.006883,0.047963,0.998141
0.036921,-0.006943,0.047974,0.998142
0.036887,-0.006991,0.047971,0.998143
0.036950,-0.006941,0.047978,0.998141
0.036904,-0.006988,0.047976,0.998142
0.036862,-0.006931,0.047970,0.998144
0.036833,-0.006990,0.047969,0.998145
0.036805,-0.006942,0.047964,0.998147
0.036866,-0.006890,0.047971,0.998144
0.036841,-0.006841,0.047978,0.998145
0.036818,-0.006814,0.047985,0.998146
0.036799,-0.006792,0.047980,0.998147
0.036871,-0.006779,0.047974,0.998145
0.036847,-0.006857,0.047974,0.998145
0.036920,-0.006907,0.047975,0.998142
0.036986,-0.006863,0.047970,0.998140
0.036941,-0.006915,0.047983,0.998141
0.036903,-0.006969,0.047981,0.998142
0.036864,-0.007012,0.047979,0.998143
0.036849,-0.007037,0.047978,0.998144
0.036915,-0.007053,0.047981,0.998141
0.036968,-0.007076,0.047981,0.998139
0.036912,-0.007005,0.047985,0.998141
0.036872,-0.007042,0.047982,0.998143
0.036945,-0.007163,0.047986,0.998139
0.036908,-0.007169,0.047982,0.998140
0.036958,-0.007076,0.047975,0.998140
0.037013,-0.007104,0.047972,0.998137
0.037047,-0.007117,0.047970,0.998136
0.037075,-0.007128,0.047967,0.998135
0.037013,-0.007141,0.047966,0.998137
0.036952,-0.007152,0.047976,0.998139
0.036998,-0.007156,0.047974,0.998138
0.037035,-0.007159,0.047971,0.998136
0.036977,-0.007168,0.047969,0.998138
0.036914,-0.007174,0.047966,0.998141
0.036967,-0.007174,0.047963,0.998139
0.037006,-0.007080,0.047958,0.998139
0.037036,-0.007193,0.047968,0.998136
0.037066,-0.007199,0.047964,0.998135
0.037091,-0.007204,0.047960,0.998134
0.037017,-0.007203,0.047972,0.998137
0.037050,-0.007197,0.047980,0.998135
