Time [mS], AccX [mg], AccY [mg], AccZ [mg], GyroX [mdps], GyroY [mdps], GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss],P [mB],T ['C]
1846, 20, -7, 1005, -402, 192, -32287, -273, -129, -837, 964.86, 31.18
1847, 34, -18, 1006, -192, 17, -33932, -280, -124, -835, 964.86, 31.18
1848, 43, -40, 1014, -1330, 122, -27860, -279, -126, -837, 964.82, 31.18
1849, -6, 21, 1011, -297, -52, -875, -273, -129, -844, 964.82, 31.18
1850, -99, 121, 1006, -297, -17, -17535, -273, -133, -849, 964.82, 31.18
1851, 22, 4, 1013, -192, 140, -41317, -274, -130, -850, 964.82, 31.18
1852, 24, 19, 991, 87, 157, -46812, -276, -127, -850, 964.77, 31.18
1853, 22, 10, 1015, -350, 140, -48737, -283, -129, -838, 964.77, 31.18
1854, 37, -35, 998, -490, 245, -40390, -285, -127, -831, 964.77, 31.18
1855, 1, -6, 1004, 17, 87, -25217, -285, -126, -831, 964.77, 31.18
1856, 32, -9, 1005, 175, 105, -25690, -285, -124, -834, 964.83, 31.18
1857, 48, -30, 1009, 0, 157, -20965, -283, -120, -843, 964.83, 31.18
1858, 39, -45, 1006, -875, -70, -11077, -283, -120, -840, 964.83, 31.18
1859, 19, -22, 1007, -700, 35, -1452, -285, -121, -826, 964.83, 31.18
1860, 37, -5, 1005, -700, -245, 11427, -288, -120, -826, 964.89, 31.18
1861, 64, 37, 1004, -455, -17, 23152, -288, -120, -831, 964.89, 31.18
1862, -43, -19, 1005, -385, -35, 21350, -288, -121, -831, 964.89, 31.18
1863, -89, -24, 1004, -297, -105, 15540, -283, -126, -828, 964.89, 31.18
1864, -118, -2, 1002, -52, 157, 7612, -280, -126, -835, 964.88, 31.18
1865, -3, 4, 1006, -52, -17, 52, -279, -124, -840, 964.88, 31.18
1866, 14, 0, 1006, -122, -35, -402, -276, -121, -832, 964.88, 31.18
1867, 12, -1, 1006, -140, 17, -315, -282, -120, -829, 964.88, 31.18
1868, 12, -1, 1005, -210, -105, -350, -282, -120, -831, 964.87, 31.18
1869, 12, 0, 1004, -70, 0, -350, -286, -120, -834, 964.87, 31.18
1870, 12, 0, 1006, -87, -52, -367, -291, -126, -832, 964.87, 31.18
1871, 13, -1, 1005, -175, -70, -350, -286, -123, -828, 964.87, 31.18
1872, 13, -1, 1006, -227, -122, -350, -288, -121, -831, 964.85, 31.18
1873, 13, 0, 1008, -332, -175, -367, -289, -126, -832, 964.85, 31.18
1874, 12, -1, 1006, -210, -70, -350, -285, -126, -826, 964.85, 31.18
1875, 13, -1, 1005, -105, -52, -385, -279, -127, -829, 964.85, 31.18
1876, 13, -1, 1005, -192, -35, -385, -276, -121, -835, 964.78, 31.18
1877, 13, -1, 1006, -175, 17, -367, -280, -115, -826, 964.78, 31.18
1878, 12, -1, 1005, -87, 17, -385, -280, -117, -828, 964.78, 31.18
1879, 12, 0, 1006, -245, -52, -385, -282, -123, -834, 964.78, 31.18
1880, 13, -2, 1004, 0, -35, -385, -282, -130, -838, 964.75, 31.18
1881, 12, 0, 1008, -105, -52, -367, -285, -133, -838, 964.75, 31.18
1882, 13, -1, 1006, -262, -52, -315, -289, -130, -834, 964.75, 31.18
1883, 13, -1, 1005, -280, 35, -280, -286, -124, -831, 964.75, 31.18
1884, 114, -5, 1007, -910, -315, 24430, -283, -123, -828, 964.85, 31.18
1885, 8, 9, 1005, -840, -280, 27387, -282, -123, -828, 964.85, 31.18
1886, -7, 2, 1004, -560, -245, 25987, -282, -123, -840, 964.85, 31.18
1887, -40, 9, 1007, -332, -140, 21682, -282, -124, -840, 964.85, 31.18
1888, -37, 7, 1004, -140, -105, 16380, -283, -124, -832, 964.89, 31.18
1889, -15, 0, 1006, 35, 192, 7297, -283, -129, -828, 964.89, 31.18
1890, -25, 15, 1005, -52, 52, 3360, -283, -129, -829, 964.89, 31.18
1891, 2, 3, 1005, -140, -52, -70, -283, -126, -835, 964.89, 31.18
1892, 12, -1, 1005, -297, -140, -402, -279, -127, -832, 964.84, 31.18
1893, 13, -1, 1006, -140, -70, -402, -279, -126, -831, 964.84, 31.18
1894, 12, -1, 1006, -175, -70, -350, -279, -126, -837, 964.84, 31.18
1895, 13, -2, 1006, -297, -157, -332, -277, -129, -834, 964.84, 31.18
1896, 13, -1, 1005, -280, -105, -315, -277, -133, -826, 964.87, 31.18
1897, 13, -1, 1007, -245, -157, -297, -280, -127, -829, 964.87, 31.18
1898, 13, -2, 1005, -297, -157, -297, -279, -126, -832, 964.87, 31.18
1899, 14, -1, 1005, -280, -157, -367, -276, -124, -831, 964.87, 31.18
1900, 13, -1, 1005, -245, -87, -332, -277, -121, -831, 964.88, 31.18
1901, 12, -1, 1007, -140, -70, -385, -277, -124, -838, 964.88, 31.18
1902, 13, -1, 1006, -157, -122, -385, -276, -127, -837, 964.88, 31.18
1903, 12, -1, 1006, -157, -105, -420, -276, -127, -831, 964.88, 31.18
1904, 13, 0, 1005, -175, -35, -402, -277, -126, -831, 964.86, 31.18
1905, 13, -2, 1005, -140, -70, -420, -276, -126, -835, 964.86, 31.18
1906, 13, -1, 1005, -105, -70, -402, -277, -129, -835, 964.86, 31.18
1907, 14, -2, 1005, -140, -35, -402, -280, -129, -829, 964.86, 31.18
1908, 13, -1, 1006, -70, -35, -402, -277, -130, -828, 964.84, 31.18
1909, 12, -2, 1006, -52, 52, -385, -279, -133, -828, 964.84, 31.18
1910, 13, -2, 1007, -87, -17, -437, -280, -127, -832, 964.84, 31.18
1911, 13, -2, 1005, -105, -35, -420, -277, -127, -840, 964.84, 31.18
1912, 13, -2, 1005, -87, -35, -385, -273, -126, -837, 964.80, 31.18
1913, 13, -1, 1005, -245, -140, -385, -274, -126, -834, 964.80, 31.18
1914, 13, -2, 1004, -210, -140, -385, -274, -130, -831, 964.80, 31.19
1915, 14, -1, 1007, -227, -122, -367, -273, -129, -831, 964.80, 31.19
1916, 13, -2, 1004, -262, -17, -332, -277, -121, -835, 964.83, 31.19
1917, 14, -1, 1008, -140, -105, -402, -279, -121, -832, 964.83, 31.19
1918, 14, -2, 1007, -175, -35, -367, -282, -127, -829, 964.83, 31.19
1919, 13, -1, 1007, -245, -140, -455, -283, -127, -829, 964.83, 31.19
1920, 13, -2, 1005, -297, -140, -455, -282, -126, -826, 964.85, 31.19
1921, 13, -2, 1005, -192, -105, -385, -280, -126, -831, 964.85, 31.19
1922, 14, -1, 1006, -210, -87, -385, -276, -126, -832, 964.85, 31.19
1923, 13, -1, 1005, -262, -70, -367, -280, -129, -832, 964.85, 31.19
1924, 14, -2, 1005, -367, -105, -315, -285, -127, -837, 964.83, 31.19
1925, 13, -1, 1006, -280, -52, -350, -282, -121, -835, 964.83, 31.19
1926, 13, -1, 1006, -245, 0, -367, -277, -123, -832, 964.83, 31.19
1927, 13, -1, 1008, -315, -52, -350, -276, -126, -831, 964.83, 31.19
1928, 13, -1, 1007, -490, -52, -350, -277, -124, -829, 964.83, 31.19
1929, 13, -1, 1007, -630, -140, -350, -277, -124, -826, 964.83, 31.19
1930, 13, 0, 1012, -1102, -210, -367, -273, -124, -826, 964.83, 31.19
1931, 14, -1, 1010, -1435, -297, -315, -274, -126, -829, 964.83, 31.19
1932, 13, -3, 1005, -1767, -280, -297, -282, -124, -829, 964.83, 31.19
1933, 14, -4, 1002, -1540, -280, -210, -285, -123, -828, 964.83, 31.19
1934, 15, -2, 1010, -1505, -192, -122, -280, -126, -831, 964.83, 31.19
1935, 16, -1, 1015, -2170, -315, 227, -279, -127, -837, 964.83, 31.19
1936, 15, -4, 1007, -4217, -297, -140, -285, -127, -837, 964.85, 31.19
1937, 16, -4, 1009, -4182, -262, 105, -282, -124, -834, 964.85, 31.19
1938, 14, -1, 1018, -5285, -280, 192, -279, -126, -832, 964.85, 31.19
1939, 14, -6, 1002, -5897, -332, 227, -279, -129, -829, 964.85, 31.19
1940, 10, -9, 996, -4620, -245, 227, -282, -127, -829, 964.80, 31.19
1941, 13, -3, 1021, -5180, -210, -227, -277, -136, -831, 964.80, 31.19
1942, 13, -7, 1011, -7087, -262, -455, -277, -136, -834, 964.80, 31.19
1943, 18, -3, 1029, -8505, -210, -315, -271, -135, -834, 964.80, 31.19
1944, 40, -9, 1022, -10902, -192, 840, -279, -130, -837, 964.79, 31.19
1945, 83, -12, 1023, -12407, -595, 6002, -280, -130, -834, 964.79, 31.19
1946, 40, -16, 1006, -13702, -735, 11567, -279, -130, -832, 964.79, 31.19
1947, 12, -14, 1014, -15050, -665, 11357, -279, -133, -840, 964.79, 31.19
