Time [mS], AccX [mg], AccY [mg], AccZ [mg], GyroX [mdps], GyroY [mdps], GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss],P [mB],T ['C]
2096, 9, -1003, -22, 19880, -245, -175, -282, -190, -331, 964.80, 31.21
2097, 9, -1003, -26, 22225, -245, -122, -279, -189, -343, 964.85, 31.21
2098, 9, -1003, -17, 27265, -367, -140, -279, -192, -343, 964.85, 31.21
2099, 9, -1003, -9, 29627, -437, -122, -279, -196, -331, 964.85, 31.21
2100, 9, -1003, -16, 32252, -490, -87, -274, -198, -337, 964.85, 31.21
2101, 10, -1003, -6, 35595, -455, -105, -276, -196, -339, 964.86, 31.21
2102, 9, -1002, -8, 38675, -455, 0, -277, -195, -343, 964.86, 31.21
2103, 10, -1001, -2, 42332, -437, 70, -276, -196, -352, 964.86, 31.21
2104, 6, -999, 10, 49437, -507, 35, -273, -204, -355, 964.86, 31.21
2105, 8, -999, 27, 52570, -507, -122, -276, -207, -363, 964.81, 31.21
2106, 9, -998, 27, 55737, -665, -105, -279, -204, -366, 964.81, 31.21
2107, 10, -997, 47, 58625, -647, -35, -277, -204, -367, 964.81, 31.21
2108, 11, -996, 45, 61582, -595, 70, -279, -207, -367, 964.81, 31.21
2109, 5, -994, 28, 67497, -1347, -6877, -276, -208, -370, 964.85, 31.21
2110, 2, -1010, 34, 55825, -665, -13002, -277, -210, -381, 964.85, 31.21
2111, 12, -999, 152, 59832, 4725, -15312, -280, -214, -396, 964.85, 31.21
2112, 146, -1047, 115, 56612, 2677, -13667, -283, -219, -402, 964.85, 31.21
2113, 20, -998, 122, 57890, -350, -385, -282, -216, -396, 964.88, 31.21
2114, 26, -989, 165, 56490, -367, -717, -280, -214, -397, 964.88, 31.21
2115, 9, -984, 176, 51835, -385, -280, -276, -219, -400, 964.88, 31.21
2116, 22, -990, 159, 51975, -297, -280, -276, -222, -400, 964.88, 31.21
2117, 19, -989, 161, 52727, -385, -420, -279, -222, -408, 964.83, 31.21
2118, 5, -985, 163, 53550, -350, 35, -279, -219, -421, 964.83, 31.21
2119, 26, -983, 198, 54687, -227, 122, -280, -220, -421, 964.83, 31.21
2120, 10, -978, 208, 54005, -420, -227, -277, -225, -424, 964.83, 31.21
2121, 11, -980, 202, 51152, -647, -542, -274, -223, -429, 964.80, 31.21
2122, 20, -972, 248, 50977, -192, -175, -274, -225, -429, 964.80, 31.21
2123, 5, -972, 235, 48300, -315, -787, -276, -226, -435, 964.80, 31.21
2124, 15, -976, 222, 48650, -315, -490, -282, -231, -444, 964.80, 31.21
2125, 14, -971, 242, 49665, -507, -1190, -280, -234, -453, 964.86, 31.21
2126, 11, -968, 254, 48422, -542, -1137, -279, -234, -454, 964.86, 31.21
2127, 17, -970, 250, 51380, -105, -892, -279, -231, -450, 964.86, 31.21
2128, 12, -970, 234, 53025, -87, -647, -280, -231, -451, 964.86, 31.21
2129, 13, -969, 239, 57015, -227, -542, -282, -234, -457, 964.86, 31.21
2130, 16, -959, 280, 59815, -157, -525, -279, -238, -463, 964.86, 31.21
2131, 19, -960, 280, 60322, -140, -455, -283, -243, -466, 964.86, 31.21
2132, 16, -956, 283, 62685, -140, -332, -285, -241, -472, 964.86, 31.21
2133, 14, -951, 293, 68180, 315, 140, -285, -241, -480, 964.81, 31.21
2134, 15, -946, 310, 70787, 787, -17, -280, -244, -481, 964.81, 31.21
2135, 8, -945, 297, 73850, 910, -140, -277, -243, -483, 964.81, 31.21
2136, 9, -938, 314, 79957, 6807, -2135, -280, -238, -487, 964.81, 31.21
2137, 9, -931, 353, 83755, 8995, -3027, -280, -243, -495, 964.86, 31.21
2138, 26, -940, 309, 92820, 5565, -1067, -282, -249, -504, 964.86, 31.21
2139, 13, -904, 426, 95340, 7420, -1207, -282, -249, -513, 964.86, 31.21
2140, 21, -913, 392, 92470, 3780, -297, -279, -246, -517, 964.86, 31.21
2141, 13, -897, 404, 95217, 3395, 822, -280, -246, -523, 964.90, 31.21
2142, 44, -830, 361, 111072, -490, -1225, -280, -250, -537, 964.90, 31.21
2143, 55, -897, 461, 124740, -1032, -1627, -277, -250, -544, 964.90, 31.21
2144, 42, -840, 425, 140367, -2450, -1347, -277, -252, -553, 964.90, 31.21
2145, 21, -842, 512, 145407, -4165, 2135, -277, -253, -564, 964.88, 31.21
2146, 1, -826, 490, 146877, -3762, 1960, -277, -255, -574, 964.88, 31.21
2147, 11, -810, 509, 154525, -5582, 2117, -283, -250, -580, 964.88, 31.21
2148, 13, -793, 488, 161227, -4130, 2152, -280, -247, -589, 964.88, 31.21
2149, 10, -781, 532, 169820, -4130, 3080, -273, -250, -610, 964.88, 31.21
2150, 10, -737, 623, 169820, -4252, 2765, -277, -253, -622, 964.83, 31.21
2151, 22, -744, 626, 168962, -5022, 2432, -282, -258, -631, 964.83, 31.21
2152, 8, -717, 665, 170555, -6527, 3395, -279, -255, -640, 964.83, 31.21
2153, 8, -713, 707, 168262, -4095, 4305, -277, -250, -652, 964.83, 31.21
2154, -3, -686, 748, 161035, -4410, 4112, -280, -246, -666, 964.83, 31.21
2155, 19, -690, 714, 155872, -717, 3500, -280, -241, -673, 964.83, 31.21
2156, 2, -648, 732, 156555, -822, 3885, -280, -241, -682, 964.83, 31.21
2157, 34, -641, 757, 156642, -542, 4252, -277, -238, -697, 964.83, 31.21
2158, 15, -611, 780, 154420, -3780, 5005, -276, -235, -705, 964.84, 31.21
2159, 5, -602, 777, 152460, -4200, 5162, -277, -235, -706, 964.84, 31.21
2160, 33, -555, 769, 152705, -5810, 5495, -282, -231, -715, 964.84, 31.21
2161, 15, -539, 791, 159180, -7385, 5652, -280, -226, -723, 964.84, 31.21
2162, 34, -474, 764, 169435, -7472, 8347, -277, -223, -730, 964.80, 31.21
2163, 25, -489, 795, 178727, -7245, 9187, -279, -220, -736, 964.80, 31.21
2164, 15, -439, 801, 186042, -7262, 10797, -277, -223, -745, 964.80, 31.21
2165, 1, -421, 852, 191765, -9380, 10657, -279, -220, -756, 964.80, 31.21
2166, 11, -408, 873, 193550, -6895, 9607, -282, -208, -760, 964.80, 31.21
2167, 16, -368, 857, 198957, -6037, 11585, -285, -202, -766, 964.80, 31.21
2168, -51, -291, 895, 198660, -6090, 7910, -285, -196, -775, 964.80, 31.21
2169, -17, -264, 906, 202947, -3797, 3342, -282, -192, -786, 964.80, 31.21
2170, -7, -240, 934, 205537, -4200, 3657, -282, -189, -793, 964.84, 31.21
2171, -18, -211, 952, 206290, -4077, 4550, -286, -177, -796, 964.84, 31.21
2172, -6, -184, 953, 206132, -3202, 3430, -288, -169, -807, 964.84, 31.21
2173, 2, -162, 956, 207112, -945, 2642, -286, -162, -813, 964.84, 31.21
2174, -5, -111, 984, 206675, -3255, 2520, -286, -156, -816, 964.87, 31.23
2175, 14, -81, 980, 206202, -1925, 4252, -288, -156, -822, 964.87, 31.23
2176, 4, -65, 980, 206605, -3325, 3307, -285, -150, -822, 964.87, 31.23
2177, 3, -4, 993, 207042, -1732, 2030, -282, -145, -828, 964.87, 31.23
2178, 35, 97, 1493, 200095, 7472, 1925, -288, -138, -831, 964.87, 31.23
2179, 25, 12, 1432, 20457, -3237, -1995, -286, -127, -829, 964.87, 31.23
2180, 80, -64, 956, 1120, -5372, 2030, -288, -123, -835, 964.87, 31.23
2181, -40, 45, 1073, 2870, -3972, 4270, -289, -123, -838, 964.87, 31.23
2182, 8, -27, 931, 2922, -4252, 1277, -283, -123, -834, 964.86, 31.23
2183, 2, 9, 1034, 6212, -4357, 455, -289, -117, -829, 964.86, 31.23
2184, 7, -3, 995, 4270, -7280, 1470, -292, -120, -828, 964.86, 31.23
2185, 35, 5, 1052, 4725, -3552, -1242, -288, -124, -826, 964.86, 31.23
2186, 15, -4, 999, -140, -700, -350, -291, -120, -825, 964.87, 31.23
2187, 14, 0, 1011, -192, -262, -297, -294, -118, -825, 964.87, 31.23
2188, 17, -3, 1007, -367, -157, 87, -291, -121, -832, 964.87, 31.23
2189, 8, -1, 1006, -332, -157, 227, -289, -123, -831, 964.87, 31.23
2190, 10, 0, 1005, -157, -70, -140, -289, -118, -831, 964.88, 31.23
2191, 12, 0, 1005, -122, -52, -332, -286, -112, -834, 964.88, 31.23
2192, 12, -1, 1005, -87, -70, -350, -288, -120, -829, 964.88, 31.23
2193, 12, -1, 1004, -35, -105, -350, -294, -126, -831, 964.88, 31.23
2194, 13, -1, 1004, -122, -35, -367, -292, -121, -829, 964.88, 31.23
2195, 12, -1, 1005, -140, -17, -332, -291, -121, -834, 964.88, 31.23
2196, 12, -2, 1007, -175, 0, -385, -295, -118, -834, 964.88, 31.23
2197, 12, -1, 1007, -122, -35, -402, -297, -118, -829, 964.88, 31.23
2198, 12, -1, 1005, -140, -87, -367, -291, -121, -826, 964.84, 31.23
2199, 12, -1, 1005, -157, -70, -367, -288, -120, -825, 964.84, 31.23
2200, 12, -1, 1005, -192, -52, -420, -291, -120, -823, 964.84, 31.23
2201, 13, -1, 1003, -122, -52, -402, -288, -118, -825, 964.84, 31.23
2202, 12, 0, 1005, -105, -52, -367, -291, -121, -826, 964.82, 31.23
2203, 12, -1, 1007, -105, -17, -402, -294, -117, -826, 964.82, 31.23
2204, 12, -1, 1007, -70, -87, -385, -289, -118, -829, 964.82, 31.23
2205, 12, 0, 1008, -87, -17, -402, -291, -123, -831, 964.82, 31.23
2206, 12, 0, 1006, -35, -17, -402, -294, -120, -831, 964.83, 31.23
2207, 12, 0, 1005, -87, 0, -385, -291, -123, -837, 964.83, 31.23
2208, 12, -1, 1004, -140, 17, -385, -289, -124, -838, 964.83, 31.23
2209, 12, -1, 1004, -140, -17, -367, -291, -124, -832, 964.83, 31.23
2210, 13, 0, 1005, -105, -70, -367, -294, -126, -835, 964.87, 31.23
2211, 12, -1, 1007, -70, -52, -367, -289, -121, -837, 964.87, 31.23
2212, 12, 0, 1008, -140, -35, -350, -288, -117, -832, 964.87, 31.23
2213, 13, -1, 1007, -175, -35, -367, -291, -121, -831, 964.87, 31.23
2214, 13, -1, 1006, -175, 0, -385, -291, -123, -834, 964.86, 31.23
2215, 12, 0, 1005, -105, 52, -332, -291, -120, -834, 964.86, 31.23
2216, 13, 0, 1004, -175, 35, -332, -294, -121, -829, 964.86, 31.23
2217, 19, -4, 1005, -157, 35, -17, -295, -121, -835, 964.86, 31.23
2218, 69, -18, 1006, -245, 52, 1977, -291, -121, -838, 964.82, 31.23
2219, 117, -17, 1006, -525, -157, 12792, -294, -121, -829, 964.82, 31.23
2220, -80, 20, 1006, 87, -35, 4550, -292, -120, -831, 964.82, 31.23
2221, 11, -1, 1005, 140, -87, -297, -289, -124, -835, 964.82, 31.23
2222, 12, 0, 1007, 52, -17, -350, -291, -126, -834, 964.87, 31.23
2223, 13, 0, 1005, -17, -35, -402, -292, -120, -829, 964.87, 31.23
2224, 12, -1, 1002, 17, -35, -367, -288, -121, -834, 964.87, 31.23
2225, 13, -1, 1005, 122, 70, -402, -288, -126, -841, 964.87, 31.23
2226, 13, -1, 1005, 140, 140, -332, -289, -121, -844, 964.86, 31.23
2227, 11, 0, 1008, 122, 280, -315, -285, -118, -840, 964.86, 31.23
2228, 12, -1, 1006, 52, 175, -315, -285, -115, -834, 964.86, 31.23
2229, 12, -1, 1005, 105, 227, -332, -289, -117, -834, 964.86, 31.23
2230, 13, -1, 1004, 227, 245, -332, -289, -118, -835, 964.84, 31.23
2231, 12, 0, 1005, 315, 280, -297, -294, -121, -835, 964.84, 31.23
2232, 12, -3, 1003, 647, 437, -367, -291, -126, -838, 964.84, 31.23
2233, 11, 0, 1005, 1172, 455, -385, -288, -120, -840, 964.84, 31.23
2234, 12, 0, 1006, 945, 175, -420, -288, -114, -832, 964.84, 31.23
2235, 12, 0, 1007, 805, 105, -437, -288, -117, -825, 964.84, 31.23
2236, 12, 0, 1007, 857, 17, -455, -295, -121, -828, 964.84, 31.23
2237, 12, -6, 1001, 4585, -245, -315, -295, -118, -829, 964.84, 31.23
2238, 11, 10, 1012, 962, -17, -280, -289, -118, -832, 964.81, 31.23
2239, 11, 2, 1006, 17, -122, -262, -292, -120, -834, 964.81, 31.23
2240, 12, 0, 1005, -227, -105, -367, -291, -118, -834, 964.81, 31.23
2241, 11, 0, 1005, 87, -70, -367, -292, -117, -835, 964.81, 31.23
2242, 11, 0, 1006, 245, -105, -367, -295, -120, -834, 964.83, 31.23
2243, 12, 1, 1007, 367, -122, -402, -294, -120, -834, 964.83, 31.23
2244, 12, 2, 1006, 157, 17, -367, -294, -118, -840, 964.83, 31.23
2245, 11, 1, 1006, 87, 87, -332, -289, -123, -840, 964.83, 31.23
2246, 12, 1, 1006, 70, 105, -332, -295, -123, -835, 964.86, 31.23
2247, 11, 1, 1004, 17, 122, -472, -294, -121, -838, 964.86, 31.23
2248, 11, 1, 1005, 245, -35, -350, -291, -118, -840, 964.86, 31.23
2249, 12, 0, 1006, 910, -402, -350, -294, -121, -835, 964.86, 31.23
2250, 11, 2, 1007, 840, -367, -297, -288, -123, -834, 964.85, 31.23
2251, 11, 0, 1007, 910, -350, -280, -285, -118, -834, 964.85, 31.23
2252, 12, 2, 1006, 1032, -402, -262, -285, -120, -838, 964.85, 31.23
2253, 12, 1, 1005, 892, -350, -175, -288, -121, -835, 964.85, 31.23
2254, 13, 0, 1009, 3815, 525, 122, -289, -117, -831, 964.85, 31.23
2255, 13, -21, 1016, 9310, 1067, 1172, -289, -118, -832, 964.85, 31.23
2256, 13, -8, 1014, 15697, 1417, 1365, -289, -121, -834, 964.85, 31.23
2257, 14, -8, 1018, 22102, 1610, 735, -288, -123, -835, 964.85, 31.23
2258, 13, -15, 1021, 31727, 1732, -927, -289, -123, -838, 964.87, 31.23
2259, 14, 0, 1018, 42805, 1347, -2695, -283, -123, -843, 964.87, 31.23
2260, 17, 15, 1017, 62842, 157, -10290, -280, -118, -838, 964.87, 31.23
2261, 14, 27, 1013, 70770, -227, -12232, -294, -112, -834, 964.87, 31.24
2262, 1, 21, 1012, 76615, 35, -10500, -295, -106, -828, 964.83, 31.24
2263, -6, 17, 1009, 84192, -17, -5127, -291, -99, -826, 964.83, 31.24
2264, 8, 31, 1019, 96512, -1732, -1995, -292, -96, -835, 964.83, 31.24
2265, 11, 43, 1022, 114205, -1540, -2310, -292, -88, -835, 964.83, 31.24
2266, 11, 100, 1006, 141627, -1750, -3115, -292, -85, -837, 964.84, 31.24
2267, 10, 127, 997, 151760, -1925, -3272, -294, -81, -840, 964.84, 31.24
2268, 10, 155, 991, 158742, -1890, -3342, -292, -75, -835, 964.84, 31.24
2269, 2, 171, 979, 162662, -1365, -735, -300, -61, -831, 964.84, 31.24
2270, 7, 204, 971, 165497, -1767, 3150, -303, -49, -831, 964.85, 31.24
2271, 5, 232, 962, 166110, -17, 10885, -298, -42, -832, 964.85, 31.24
2272, 12, 288, 950, 164202, 2257, 17780, -300, -33, -829, 964.85, 31.24
2273, 16, 321, 940, 164395, 3027, 18287, -301, -24, -829, 964.85, 31.24
2274, 12, 341, 931, 163065, 3850, 19075, -304, -18, -825, 964.83, 31.24
2275, 13, 360, 925, 162680, 4427, 19302, -303, -6, -820, 964.83, 31.24
2276, 15, 377, 921, 163782, 5652, 20405, -300, 10, -820, 964.83, 31.24
2277, 15, 397, 913, 166582, 6860, 21297, -301, 18, -816, 964.83, 31.24
2278, 0, 465, 875, 172655, 5932, 19810, -304, 24, -816, 964.80, 31.24
2279, -23, 503, 855, 169627, 5600, 18007, -304, 34, -811, 964.80, 31.24
2280, -73, 531, 840, 165917, 5162, 11462, -303, 45, -804, 964.80, 31.24
2281, -38, 526, 844, 161157, 6720, 6212, -304, 55, -798, 964.80, 31.24
2282, -15, 554, 829, 155487, 7927, 7647, -301, 64, -795, 964.83, 31.24
2283, 26, 572, 809, 140402, 4375, 3850, -301, 69, -787, 964.83, 31.24
2284, 59, 586, 796, 132107, 4462, 5197, -303, 82, -786, 964.83, 31.24
2285, 108, 588, 804, 132265, 4882, 6002, -303, 96, -783, 964.83, 31.24
2286, 86, 621, 780, 134505, 5635, 9572, -309, 102, -775, 964.88, 31.24
2287, 29, 655, 761, 132580, 3570, 6562, -306, 100, -769, 964.88, 31.24
2288, 7, 663, 743, 130095, 280, 2607, -303, 109, -765, 964.88, 31.24
2289, 15, 680, 729, 128012, -1802, -87, -307, 117, -763, 964.88, 31.24
2290, 18, 698, 717, 127347, -1277, -735, -310, 126, -757, 964.84, 31.24
2291, 17, 707, 705, 127050, -542, -1732, -307, 135, -750, 964.84, 31.24
2292, 17, 728, 686, 126315, -420, -2205, -310, 142, -742, 964.84, 31.24
2293, 13, 740, 668, 124897, -437, -2782, -312, 153, -741, 964.84, 31.24
2294, 10, 750, 653, 126297, -3622, -4760, -312, 153, -735, 964.83, 31.24
2295, 17, 761, 649, 124092, -2012, -3237, -313, 160, -735, 964.83, 31.24
2296, 13, 779, 621, 124145, -192, -2135, -315, 163, -723, 964.83, 31.24
2297, 12, 796, 601, 123847, -332, -1855, -315, 168, -717, 964.83, 31.24
2298, 14, 810, 583, 121327, -472, -2187, -309, 174, -708, 964.86, 31.24
2299, 16, 825, 569, 118072, -210, -2712, -306, 183, -703, 964.86, 31.24
2300, 13, 832, 556, 113522, 332, -2835, -312, 192, -699, 964.86, 31.24
2301, 11, 847, 530, 109305, 945, -2625, -316, 195, -693, 964.86, 31.24
2302, 9, 847, 520, 106487, 1155, -1890, -319, 201, -690, 964.86, 31.24
2303, 11, 869, 501, 102952, 1697, 525, -319, 214, -682, 964.86, 31.24
2304, 5, 850, 499, 99767, 7630, 2992, -318, 214, -679, 964.86, 31.24
2305, 30, 895, 487, 99032, 1680, -175, -315, 217, -675, 964.86, 31.24
2306, -1, 884, 446, 93467, 2957, -175, -316, 228, -658, 964.86, 31.24
2307, 4, 897, 433, 95515, 7980, 4550, -321, 234, -657, 964.85, 31.24
2308, 8, 878, 445, 93152, 10622, 4830, -313, 240, -654, 964.85, 31.24
2309, 22, 910, 431, 92277, 8575, 5162, -312, 241, -643, 964.85, 31.24
2310, -2, 924, 369, 93905, 10570, 6982, -312, 246, -649, 964.85, 31.24
2311, 20, 909, 413, 91560, 6790, 3395, -313, 253, -646, 964.86, 31.24
2312, 1, 934, 374, 81795, 1662, 875, -319, 255, -637, 964.86, 31.24
2313, 20, 911, 393, 80815, 10237, 3360, -322, 261, -631, 964.86, 31.24
2314, 1, 966, 296, 80902, 5337, 1207, -319, 270, -622, 964.86, 31.24
2315, 21, 919, 371, 76160, 6387, 1085, -312, 271, -613, 964.84, 31.24
2316, 6, 939, 322, 80710, 11585, 2765, -309, 276, -607, 964.84, 31.24
2317, 22, 951, 326, 77000, 7280, 2065, -313, 279, -601, 964.84, 31.24
2318, 9, 961, 273, 77245, 15242, 3902, -319, 282, -594, 964.84, 31.24
2319, 22, 938, 318, 77280, 17377, 4077, -318, 291, -594, 964.85, 31.24
2320, 6, 962, 252, 81410, 14840, 3797, -312, 294, -589, 964.85, 31.24
2321, 10, 948, 266, 83177, 17745, 5635, -315, 295, -583, 964.85, 31.24
2322, 18, 951, 243, 89005, 19967, 6685, -319, 297, -577, 964.85, 31.24
2323, 9, 973, 230, 92102, 24395, 7437, -319, 298, -568, 964.87, 31.24
2324, 12, 972, 204, 98875, 25392, 6247, -319, 309, -561, 964.87, 31.24
2325, 8, 981, 184, 96652, 14980, 2730, -318, 313, -559, 964.87, 31.24
2326, 17, 976, 188, 98262, 17045, 2607, -316, 319, -561, 964.87, 31.24
2327, 8, 982, 162, 99505, 15750, 1907, -315, 328, -552, 964.87, 31.24
2328, 19, 986, 155, 98752, 10605, 437, -313, 331, -543, 964.87, 31.24
2329, 13, 985, 142, 101500, 15662, 997, -313, 333, -534, 964.87, 31.24
2330, 14, 1008, 101, 101307, 11340, 2380, -310, 339, -525, 964.87, 31.24
2331, 11, 1025, 76, 95270, 9432, 35, -315, 339, -519, 964.83, 31.24
2332, 16, 1006, 94, 91717, 15592, 1015, -319, 342, -513, 964.83, 31.24
2333, 2, 1025, 58, 86782, 16292, 1697, -316, 349, -517, 964.83, 31.24
2334, 12, 1006, 70, 73202, 21980, 2240, -318, 355, -510, 964.83, 31.24
2335, 19, 1014, -21, 75740, 8295, -1050, -316, 357, -492, 964.80, 31.24
2336, 16, 1002, -1, 76335, 1295, 35, -315, 358, -489, 964.80, 31.24
2337, 9, 988, 1, 73675, 927, -70, -315, 360, -484, 964.80, 31.24
2338, 13, 996, -15, 71907, 402, 1067, -316, 363, -478, 964.80, 31.24
2339, 11, 992, -30, 64802, 367, 1207, -318, 361, -475, 964.80, 31.24
2340, 14, 995, -29, 60480, 560, 1610, -315, 367, -475, 964.80, 31.24
2341, 14, 995, -49, 52027, 350, 2572, -313, 373, -469, 964.80, 31.24
2342, 12, 991, -53, 49700, -70, 3342, -315, 378, -459, 964.80, 31.24
2343, 13, 993, -58, 47022, -52, 4567, -315, 382, -457, 964.80, 31.24
2344, 29, 1022, -76, 42105, 245, 2257, -315, 379, -454, 964.80, 31.24
2345, 13, 996, -35, 35315, 5022, -52, -316, 382, -450, 964.80, 31.24
2346, 20, 993, -114, 32882, 3465, -472, -313, 382, -444, 964.80, 31.24
2347, 19, 990, -96, 23012, 10045, -945, -315, 384, -444, 964.82, 31.24
2348, 15, 990, -84, 20842, 4270, -595, -315, 384, -454, 964.82, 31.26
2349, 17, 987, -102, 16642, 8715, -1067, -319, 382, -451, 964.82, 31.26
2350, 22, 989, -106, 15785, 1575, -665, -318, 387, -439, 964.82, 31.26
2351, 17, 989, -96, 14227, -70, -717, -313, 394, -439, 964.89, 31.26
2352, 16, 988, -97, 12075, -262, -630, -315, 391, -441, 964.89, 31.26
2353, 16, 989, -100, 7805, -17, -192, -316, 388, -438, 964.89, 31.26
2354, 17, 988, -99, 5407, 0, -17, -318, 391, -436, 964.89, 31.26
2355, 18, 988, -101, 3325, -17, 17, -319, 388, -444, 964.88, 31.26
2356, 18, 988, -101, 1295, -122, -87, -319, 390, -448, 964.88, 31.26
2357, 17, 988, -101, -927, -157, -140, -316, 390, -441, 964.88, 31.26
2358, 16, 988, -101, -3395, -192, -210, -319, 388, -432, 964.88, 31.26
2359, 17, 989, -100, -8522, -192, -315, -319, 388, -433, 964.86, 31.26
2360, 17, 989, -99, -11042, -210, -385, -318, 388, -438, 964.86, 31.26
2361, 18, 990, -96, -13370, -175, -455, -318, 384, -447, 964.86, 31.26
2362, 17, 991, -91, -15172, -245, -472, -312, 384, -450, 964.86, 31.26
2363, 17, 991, -89, -16362, -210, -402, -310, 390, -445, 964.84, 31.26
2364, 18, 991, -87, -19355, -280, -420, -312, 387, -442, 964.84, 31.26
2365, 17, 990, -82, -21175, -332, -507, -313, 385, -442, 964.84, 31.26
2366, 16, 991, -78, -22365, -385, -210, -318, 379, -445, 964.84, 31.26
2367, 17, 992, -72, -22715, -490, -87, -321, 378, -450, 964.83, 31.26
2368, 17, 990, -174, -18830, -13685, 490, -318, 382, -453, 964.83, 31.26
2369, 16, 994, 33, -20352, -8820, 857, -316, 378, -456, 964.83, 31.26
2370, 25, 998, 14, -20247, -16327, 577, -318, 375, -453, 964.83, 31.26
2371, 14, 997, -77, -24255, -11375, -997, -318, 378, -451, 964.87, 31.26
2372, 27, 999, -35, -27527, -4095, -1960, -313, 379, -459, 964.87, 31.26
2373, 13, 994, -57, -29890, -2222, -2170, -310, 382, -462, 964.87, 31.26
2374, 19, 994, -41, -30240, -7857, -1785, -312, 376, -462, 964.87, 31.26
2375, 17, 995, -40, -32917, -1470, -2205, -312, 372, -465, 964.86, 31.26
2376, 15, 995, -35, -36715, -612, -1767, -313, 373, -466, 964.86, 31.26
2377, 14, 995, -28, -39025, -507, -1470, -318, 367, -468, 964.86, 31.26
2378, 14, 995, -22, -41212, -350, -1155, -322, 370, -475, 964.86, 31.26
2379, 14, 994, -15, -42997, -437, -997, -321, 373, -475, 964.83, 31.26
2380, 15, 996, -8, -44432, -595, -980, -319, 372, -477, 964.83, 31.26
2381, 13, 993, -16, -45115, -1277, -997, -322, 363, -480, 964.83, 31.26
2382, 17, 995, 31, -44835, -5267, -1050, -319, 357, -481, 964.83, 31.26
2383, 12, 996, -11, -44747, -8610, -1785, -315, 360, -483, 964.85, 31.26
2384, 13, 995, 15, -42472, -14227, -2030, -318, 358, -484, 964.85, 31.26
2385, 14, 996, 15, -40372, -20177, -2240, -319, 360, -487, 964.85, 31.26
2386, 15, 996, 69, -43067, -14420, -2205, -318, 358, -495, 964.85, 31.26
2387, 12, 1002, 11, -42175, -17710, -2957, -318, 357, -493, 964.84, 31.26
2388, 16, 1006, 65, -42087, -17657, -2170, -322, 355, -495, 964.84, 31.26
2389, 13, 999, 76, -43032, -20860, -3692, -322, 352, -496, 964.84, 31.26
2390, 7, 995, 60, -45850, -16870, -2485, -322, 348, -501, 964.84, 31.26
2391, 6, 995, 51, -44502, -20475, -2870, -319, 343, -508, 964.84, 31.26
2392, 17, 999, 111, -46217, -19005, -1645, -322, 343, -511, 964.84, 31.26
2393, 13, 990, 104, -51432, -9012, -455, -325, 346, -511, 964.84, 31.26
2394, 18, 1000, 106, -61600, -805, -577, -321, 343, -513, 964.84, 31.26
2395, 9, 991, 109, -63507, 210, -472, -321, 340, -523, 964.83, 31.26
2396, 15, 999, 118, -66202, 52, -227, -325, 334, -531, 964.83, 31.26
2397, 13, 997, 130, -68022, 52, -577, -324, 330, -532, 964.83, 31.26
2398, 12, 986, 139, -72432, 210, -875, -322, 330, -538, 964.83, 31.26
2399, 10, 978, 166, -78785, 105, -245, -321, 327, -547, 964.83, 31.26
2400, 14, 1000, 158, -82145, -35, 367, -319, 325, -549, 964.83, 31.26
2401, 8, 981, 181, -86870, 227, 122, -324, 318, -556, 964.83, 31.26
2402, 12, 980, 194, -92505, 87, 1207, -321, 312, -562, 964.83, 31.26
2403, 15, 981, 206, -96215, 245, 752, -321, 315, -565, 964.84, 31.26
2404, 13, 975, 223, -99960, 385, 262, -321, 309, -573, 964.84, 31.26
2405, 12, 966, 251, -107765, 455, -105, -316, 300, -586, 964.84, 31.26
2406, 14, 966, 266, -111457, 507, -350, -315, 292, -595, 964.84, 31.26
2407, 12, 963, 278, -116462, 542, -472, -315, 286, -597, 964.87, 31.26
2408, 14, 954, 299, -121292, 665, -735, -319, 282, -603, 964.87, 31.26
2409, 9, 935, 324, -123620, 577, -735, -322, 273, -610, 964.87, 31.26
2410, 14, 954, 326, -123865, 297, -140, -316, 267, -624, 964.87, 31.26
2411, 13, 935, 363, -135047, 805, -612, -313, 258, -630, 964.86, 31.26
2412, 11, 925, 383, -139755, 665, -210, -313, 253, -637, 964.86, 31.26
2413, 7, 889, 418, -145127, 560, 332, -313, 253, -657, 964.86, 31.26
2414, 21, 903, 439, -139947, 210, 595, -313, 253, -657, 964.86, 31.26
2415, 9, 897, 435, -146650, 1330, -245, -315, 243, -661, 964.84, 31.26
2416, 12, 846, 498, -146317, 1400, 752, -315, 232, -661, 964.84, 31.26
2417, 15, 861, 507, -139142, 17, 1627, -312, 223, -675, 964.84, 31.26
2418, 12, 847, 522, -141120, 157, 1330, -312, 217, -685, 964.84, 31.26
2419, 15, 838, 539, -140420, 87, 1032, -307, 210, -690, 964.82, 31.26
2420, 16, 820, 567, -143482, 437, 805, -309, 196, -694, 964.82, 31.26
2421, 16, 805, 582, -142450, 752, -87, -313, 187, -705, 964.82, 31.26
2422, 13, 792, 599, -137900, 875, -122, -306, 180, -714, 964.82, 31.26
2423, 13, 774, 627, -139230, 1277, -367, -304, 174, -718, 964.81, 31.26
2424, 13, 756, 645, -140210, 962, -245, -307, 169, -724, 964.81, 31.26
2425, 13, 745, 659, -140210, 875, -315, -309, 159, -732, 964.81, 31.26
