Qi,Qj,Qk,Qs,,,,,,,,,
-0.003613,0.003150,0.777573,0.628775,,,,,,,,,
-0.003534,0.003154,0.777565,0.628785,,,,,,,,,
-0.003596,0.003151,0.777559,0.628792,,,,,,,,,
-0.003513,0.003163,0.777560,0.628791,,,,,,,,,
-0.003580,0.003159,0.777562,0.628788,,,,,,,,,
-0.003500,0.003170,0.777564,0.628786,,,,,,,,,
-0.003436,0.003178,0.777566,0.628784,,,,,,,,,
-0.003444,0.003112,0.777568,0.628782,,,,,,,,,
-0.003522,0.003104,0.777562,0.628789,,,,,,,,,
-0.003593,0.003103,0.777564,0.628786,,,,,,,,,
-0.003592,0.003190,0.777566,0.628783,,,,,,,,,
-0.003584,0.003254,0.777568,0.628780,,,,,,,,,
-0.003636,0.003232,0.777569,0.628779,,,,,,,,,
-0.003605,0.003155,0.777578,0.628768,,,,,,,,,
-0.003654,0.003152,0.777587,0.628757,,,,,,,,,
-0.001722,0.004549,0.787256,0.616607,,,,,,,,,
-0.001205,0.003850,0.796706,0.604354,,,,,,,,,
-0.001312,0.003131,0.804730,0.593631,,,,,,,,,
-0.002396,0.004129,0.812232,0.583315,,,,,,,,,
-0.002787,0.004465,0.821201,0.570615,,,,,,,,,
-0.003503,0.005503,0.830176,0.557463,,,,,,,,,
-0.003315,0.004078,0.842043,0.539385,,,,,,,,,
-0.002916,0.002905,0.852746,0.522310,,,,,,,,,
-0.003723,0.004155,0.860866,0.508801,,,,,,,,,
-0.004478,0.004474,0.869703,0.493535,,,,,,,,,
-0.004256,0.004731,0.877876,0.478846,,,,,,,,,
-0.003490,0.006725,0.885009,0.465512,,,,,,,,,
-0.003853,0.005976,0.891694,0.452584,,,,,,,,,
-0.002728,0.005087,0.898475,0.438986,,,,,,,,,
-0.003155,0.006213,0.903007,0.429570,,,,,,,,,
-0.005983,0.008395,0.903397,0.428682,,,,,,,,,
-0.007582,0.008446,0.910369,0.413643,,,,,,,,,
-0.005398,0.007814,0.918330,0.395702,,,,,,,,,
-0.005406,0.006646,0.924756,0.380464,,,,,,,,,
-0.003113,0.006196,0.930773,0.365531,,,,,,,,,
-0.005058,0.007974,0.934124,0.356825,,,,,,,,,
-0.004471,0.007444,0.940333,0.340146,,,,,,,,,
-0.002265,0.006131,0.945766,0.324784,,,,,,,,,
-0.001198,0.005561,0.950377,0.311048,,,,,,,,,
-0.000895,0.004834,0.954230,0.299033,,,,,,,,,
-0.001586,0.004721,0.957848,0.287234,,,,,,,,,
-0.001008,0.003835,0.961050,0.276346,,,,,,,,,
0.000117,0.001753,0.962993,0.269520,,,,,,,,,
0.000602,0.000996,0.964143,0.265380,,,,,,,,,
0.000745,0.000739,0.964674,0.263443,,,,,,,,,
0.000006,0.001065,0.964244,0.265013,,,,,,,,,
-0.000137,0.001207,0.963914,0.266212,,,,,,,,,
0.000021,0.001094,0.963426,0.267971,,,,,,,,,
0.000106,0.000864,0.962303,0.271978,,,,,,,,,
-0.000801,0.001804,0.960962,0.276673,,,,,,,,,
